playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Davie Selke,"27,140,582",27000000,2018,22,10th,27,19,"1,886",10,0,48.9,2.24,0.19,1,282,60.9,13,16,,48,24,7,10,3,10,418,21.3,729,43.4,963,538,55.9,54,60,91,46.5
Davie Selke,"18,126,290",18000000,2019,23,11th,30,16,"1,739",3,5,44.4,2.33,0.07,0,288,61.1,20,12,,41,24,9,10,5,5,341,24.9,699,53.6,997,556,55.8,57,28,74,55.1
Davie Selke,"21,773,304",21600000,2020,24,16th,30,15,1403,1,1,38.5,2.53,0,0,232,67.4,6,4,,25,15,1,1,1,8,307,26.5,572,33.3,846,435,54.8,55,39,61,53.7
Dawid Kownacki,"5,880,459",5850000,2018,20,10th,22,6,823,5,2,54.5,2.41,0.23,0,200,73.5,16,4,,18,11,3,5,3,9,200,22.5,384,76.5,441,290,65.8,22,14,38,48.1
Dawid Kownacki,"3,175,273",3150000,2020,22,17th,20,11,"1,093",0,0,40.7,2.22,0,0,214,68.8,15,6,,33,20,6,2,1,16,226,32.3,497,54.2,532,323,60.7,29,21,87,43.4
Dele Alli,"40,609,350",40500000,2017,20,2nd,37,35,"3,034",18,7,94,45,47.9,0.18,,,22,,,,,,,,,,,,,,,,,50,,
Dele Alli,"90,468,608",90000000,2018,21,3rd,36,34,"2,958",9,10,75,18,24,0.12,972,77.4,18,33,,126,94,7,20,14,40,626,29.2,1816,45.5,1805,1332,73.8,104,45,248,37
Dele Alli,"81,568,306",81000000,2019,22,4th,25,22,"1,825",5,3,40,18,45,0.13,843,80.3,11,24,,61,47,5,5,3,32,470,27,1313,49.1,1214,965,79.5,41,23,180,37.9
Dele Alli,"72,577,679",72000000,2020,23,6th,25,21,"1,847",8,4,39,18,46.2,0.18,621,77.1,7,16,,53,39,9,12,5,41,479,28.2,1132,50.8,1102,773,70.1,45,12,157,34.7
Demarai Gray,"8,121,870",8100000,2017,20,12th,30,9,"1,049",1,3,27,8,29.6,0.04,,,82,,,,,,,,,,,,,,,,,12,,
Demarai Gray,"18,093,722",18000000,2018,21,9th,35,17,"1,697",3,1,36,9,25,0.08,460,70.7,85,9,,51,35,2,10,7,16,220,25,874,61.1,768,599,78,38,7,126,10
Demarai Gray,"16,313,661",16200000,2019,22,9th,34,23,"1,985",4,1,46,19,41.3,0.09,523,73.8,53,10,,41,25,7,5,4,19,408,29.2,972,66.7,998,733,73.4,59,15,137,29.6
Demarai Gray,"13,154,704",13050000,2020,23,5th,21,3,622,2,3,21,6,28.6,0.1,271,83.1,31,3,,29,25,1,6,5,8,129,30.2,431,40.7,406,325,80,18,2,63,30
Denilho Cleonise,"907,221",900000,2020,17,17th,4,0,47,0,0,0,1.91,0,0,7,100,0,0,,1,1,0,0,0,0,18,22.2,11,,18,8,44.4,0,2,1,0
Denis Bouanga,"1,504,050",1500000,2017,21,16th,36,32,"2,882",16,6,0,50,,2,,,0,,,,,,,,,,,,,,,,,53,,
Denis Bouanga,"6,031,241",6000000,2018,22,7th,34,28,"2,523",9,4,0,41,,1,,,0,,,,,,,,,,,,,,,,,46,,
Denis Bouanga,"10,070,161",10000000,2019,23,9th,35,29,"2,633",8,2,88,33,37.5,0,456,67.3,47,21,24,75,49,15,5,3,65,678,23.6,1165,46.7,1120,750,67,96,41,206,27.8
Denis Bouanga,"9,576,221",9500000,2020,24,17th,26,23,"2,042",10,3,76,34,44.7,3,408,68,58,16,32,60,27,13,7,2,59,513,25.1,1029,53.3,1015,680,67,71,51,131,38
Denis Cheryshev,"7,237,489",7200000,2018,26,5th,24,9,931,2,1,29,9,31,0,230,66.3,26,13,16,30,20,6,2,1,18,235,25.1,503,54.2,424,331,78.1,20,21,79,31.3
Denis Cheryshev,"5,437,887",5400000,2019,27,4th,27,19,"1,706",2,2,29,7,24.1,0,472,65.4,95,19,47,59,51,3,3,2,47,599,24.5,959,57.9,846,645,76.2,40,42,143,43.3
Denis Cheryshev,"4,354,661",4320000,2020,28,9th,24,9,926,1,2,21,7,33.3,0,240,68.8,41,8,21,18,15,0,4,4,12,173,21.4,480,46.4,446,334,74.9,19,23,74,40
Dennis Srbeny,"1,357,029",1350000,2018,23,14th,14,7,601,1,0,26.7,2.25,0.07,0,,,2,,,,,,,,,,,,,,,,,19,,
Dennis Srbeny,"1,137,928",1130000,2019,24,1st,15,0,150,1,1,10,4,40,0.1,,,2,,,,,,,,,,,,,,,,,5,,
Dennis Srbeny,"906,315",900000,2019,24,1st,15,0,150,1,1,40,6,0.1,0,,,2,,,,,,,,,,,,,,,,,5,,
Deyverson,"4,536,105",4500000,2020,28,8th,5,3,204,0,1,4,1,25,0,34,50,3,2,6,5,4,0,2,1,0,44,15.9,96,66.7,116,70,60.3,10,7,14,60
Diego Costa,"45,121,500",45000000,2017,27,1st,35,35,"3,082",20,6,111,41,36.9,0,,,9,,,,,,,,,,,,,,,,,42,,
Diego Costa,"36,187,443",36000000,2018,28,2nd,15,13,"1,034",3,3,24,11,45.8,0,248,75.6,2,12,20,22,18,1,5,4,12,230,28.7,483,67.7,656,388,59.1,42,21,36,44.4
Diego Costa,"16,313,661",16200000,2019,29,2nd,16,14,"1,112",2,2,16,10,62.5,0,220,70.7,4,8,24,20,15,2,3,2,5,236,19.9,447,56,699,373,53.4,38,22,31,35.3
Diego Costa,"13,154,704",13050000,2020,30,3rd,23,14,"1,350",5,4,33,8,24.2,2,260,71,5,6,26,28,19,2,5,4,10,200,29.5,533,55.6,749,411,54.9,41,20,56,40.8
Diego Perotti,"18,093,722",18000000,2018,29,3rd,25,17,"1,609",5,3,32.4,1.9,0.09,2,708,77,123,19,,85,56,7,7,6,26,328,27.1,1164,63.2,1071,898,83.8,37,12,111,42.9
Diego Perotti,"10,875,774",10800000,2019,30,6th,13,6,668,5,0,42.9,1.89,0.14,3,268,75.3,44,9,,34,24,1,1,0,13,144,27.8,444,74.2,395,339,85.8,12,5,46,50
Diego Perotti,"5,896,936",5850000,2020,31,5th,21,10,875,5,3,41.7,1.23,0.08,4,305,78,40,5,,39,26,5,3,2,17,191,31.9,501,72.5,443,374,84.4,6,8,61,50
Dimitri Payet,"19,903,094",19800000,2018,30,4th,31,28,"2,347",6,13,58,18,31,2,1198,74.1,235,43,42,199,113,6,26,13,17,319,28.5,1881,75,1540,1379,89.5,50,16,172,22.2
Dimitri Payet,"11,328,931",11250000,2019,31,5th,31,23,"1,904",4,6,36,13,36.1,2,840,69.2,213,31,41,136,70,7,11,8,14,338,26.6,1401,61.8,1203,998,83,38,13,116,18.2
Dimitri Payet,"9,072,210",9000000,2020,32,2nd,22,22,"1,930",9,4,60,23,38.3,3,775,69.9,183,30,46,140,65,9,13,6,21,233,28.3,1350,60.2,1155,964,83.5,30,15,122,39.1
Diogo Jota,"16,284,349",16200000,2018,20,1st,44,43,"3,612",17,5,119,51,42.9,0.13,,,53,,,,,,,,,,,,,,,,,71,,
Diogo Jota,"31,721,008",31500000,2019,21,7th,33,29,"2,355",9,5,57,23,40.4,0.16,597,75.8,36,21,,75,45,10,11,5,29,494,24.7,1170,55.2,1304,870,66.7,74,42,167,26.2
Diogo Jota,"25,402,188",25200000,2020,22,7th,34,27,"2,284",7,1,69,26,37.7,0.1,681,79.1,33,15,,89,51,16,6,4,34,573,22.2,1248,57.6,1292,943,73,66,41,178,36
Divock Origi,"9,046,861",9000000,2018,22,4th,32,22,1977,6,2,64,24,37,0.09,311,75,13,8,,39,21,4,6,2,6,426,21,708,56,992,575,58,72,31,63,35
Divock Origi,"18,126,290",18000000,2019,23,2nd,13,5,461,4,2,13,6,46.2,0.23,77,67,5,3,,8,7,0,1,1,6,83,26.5,177,53.3,192,127,66.1,12,2,29,33.3
Divock Origi,"14,515,536",14400000,2020,24,1st,28,7,717,4,1,14,6,42.9,0.29,158,72.1,18,4,,23,11,6,4,0,15,152,34.9,342,42.3,385,256,66.5,21,12,43,36.8
Dodi Lukebakio,"1,082,916",1080000,2017,18,13th,5,0,92,0,0,0,2.93,0,0,,,5,,,,,,,,,,,,,,,,,0,,
Dodi Lukebakio,"19,032,605",18900000,2019,20,10th,31,22,"1,972",10,3,52.9,2.33,0.12,4,444,74.6,41,12,,54,36,6,6,3,25,282,23,933,66.7,1021,695,68.1,76,30,112,46.7
Dodi Lukebakio,"17,237,199",17100000,2020,21,10th,30,24,"2,031",7,6,47.4,1.68,0.18,0,480,75.4,56,12,,66,44,11,11,3,33,312,24.4,929,65.9,955,642,67.2,60,26,137,35.7
Domenico Berardi,"22,560,750",22500000,2017,21,12th,21,20,"1,732",5,9,27.9,2.23,0.07,2,,,90,,,,,,,,,,,,,,,,,47,,
Domenico Berardi,"16,284,349",16200000,2018,22,11th,31,29,"2,296",4,2,27.7,3.25,0.02,2,647,66.1,122,21,,115,73,8,5,3,30,595,22.7,1311,61.7,1240,916,73.9,53,43,193,29.2
Domenico Berardi,"21,751,548",21600000,2019,23,11th,35,32,"2,875",8,4,23.6,3.85,0.06,1,955,71.6,121,28,,124,78,13,13,8,41,697,20.1,1820,57.3,1663,1330,80,68,65,243,40.8
Domenico Berardi,"17,237,199",17100000,2020,24,8th,30,28,"2,403",14,10,39.1,4.12,0.11,2,842,73.8,107,36,,109,69,7,14,9,37,627,22.5,1552,57.1,1314,1100,83.7,51,54,189,44.4
Dominic Solanke,"2,707,290",2700000,2017,18,1st,0,0,,,,23,7,30.4,0.04,149,75.3,3,6,,28,21,2,2,2,3,134,32.1,309,58.8,397,238,59.9,32,13,33,39.1
Dominic Solanke,"9,046,861",9000000,2018,19,4th,24,8,838,2,1,9,3,33.3,0,73,72.3,1,3,,16,12,3,1,1,8,119,24.4,175,64.3,211,119,56.4,12,2,28,24.1
Dominic Solanke,"16,313,661",16200000,2019,20,4th,2,2,180,2,0,35,9,25.7,0.09,317,73.9,6,9,,43,30,3,5,2,11,644,23.4,695,52.6,818,471,57.6,58,15,120,33.1
Dominick Drexler,"723,749",720000,2018,27,3rd,31,31,"2,724",12,7,46.9,1.62,0.18,3,,,53,,,,,,,,,,,,,,,,,47,,
Dominick Drexler,"3,625,258",3600000,2019,28,1st,33,33,"2,897",9,14,53.1,1.52,0.18,0,,,68,,,,,,,,,,,,,,,,,53,,
Dominick Drexler,"2,903,107",2880000,2020,29,14th,27,18,"1,587",3,4,38.1,1.19,0.14,0,486,73.2,49,17,,56,45,3,6,5,31,385,29.4,872,57.5,716,556,77.7,31,26,163,36
Douglas Costa,"49,757,734",49500000,2018,26,1st,54,32,"3,215",8,10,39.5,1.91,0.11,0,826,79.7,197,13,,109,84,12,25,20,15,319,24.5,1263,70.9,1192,1037,87,46,41,121,32.3
Douglas Costa,"34,439,951",34200000,2019,27,1st,17,7,621,1,0,30,2.9,0.05,0,271,77.9,46,8,,36,28,3,3,2,8,163,23.3,452,48.3,430,358,83.3,14,13,46,0
Douglas Costa,"21,773,304",21600000,2020,28,1st,23,7,802,1,4,40,2.24,0.05,0,392,80,40,7,,51,39,5,6,5,5,115,21.7,613,62.1,572,503,87.9,26,10,53,12.5
Dries Mertens,"25,268,040",25200000,2017,29,3rd,35,28,"2,558",28,9,43.9,5.21,0.18,2,,,47,,,,,,,,,,,,,,,,,44,,
Dries Mertens,"27,140,582",27000000,2018,30,2nd,38,35,"3,002",18,7,35.8,3.6,0.12,4,739,74,32,34,,131,97,12,16,11,25,856,28.3,1412,43.5,1792,1155,64.5,90,35,132,12
Dries Mertens,"22,657,863",22500000,2019,31,2nd,35,23,"2,252",16,11,44.9,3.56,0.17,1,677,74.9,74,24,,110,81,10,18,10,25,586,22.9,1163,44.9,1325,941,71,40,33,104,33.3
Dries Mertens,"18,144,420",18000000,2020,32,7th,31,18,"1,689",9,7,32,4,0.12,0,536,75.2,83,11,,96,67,10,14,9,23,502,29.1,909,54.2,911,679,74.5,19,29,90,23.1
Dušan Vlahović,"1,359,472",1350000,2019,18,16th,10,1,160,0,0,10,5.63,0,0,26,63.4,3,1,,4,4,0,0,0,1,37,18.9,78,66.7,83,55,66.3,8,5,11,22.2
Dušan Vlahović,"14,515,536",14400000,2020,19,10th,29,12,"1,434",6,0,29.3,3.64,0.09,1,228,69.5,11,14,,38,20,6,2,0,4,228,24.6,601,69.6,777,443,57,65,19,84,37.9
Duván Zapata,"11,280,375",11250000,2017,25,13th,38,37,"3,141",10,3,48.7,2.23,0.12,1,,,48,,,,,,,,,,,,,,,,,56,,
Duván Zapata,"19,903,094",19800000,2018,26,10th,31,24,"2,108",11,3,41.1,2.39,0.2,0,396,66.8,42,11,,50,38,6,10,5,11,336,25,957,60.7,1185,734,61.9,89,27,105,42.5
Duván Zapata,"40,784,153",40500000,2019,27,3rd,37,32,"2,896",23,7,43.6,3.64,0.19,1,568,77.1,32,15,,123,81,22,18,10,13,425,29.9,1297,58.6,1801,992,55.1,138,59,135,37.2
Duván Zapata,"32,659,955",32400000,2020,28,3rd,28,25,"2,026",18,6,40.2,3.86,0.2,1,440,76.1,30,8,,72,56,7,12,10,7,231,29.4,930,54.4,1207,738,61.1,78,36,89,41.2
Dwight Gayle,"9,046,861",9000000,2018,26,10th,35,23,"1,958",6,3,56,22,39.3,0.11,317,73.4,5,8,,41,33,0,7,6,11,306,23.2,644,64.3,894,459,51.3,46,23,70,41.5
Dwight Gayle,"8,618,599",8550000,2020,28,13th,20,10,850,4,2,23,10,43.5,0.17,110,73.3,3,2,,12,7,0,2,2,13,118,28,243,80,302,161,53.3,18,6,25,33.3
Ebrima Colley,"725,777",720000,2020,19,3rd,5,0,82,0,1,40,5.49,0,0,37,88.1,0,1,,6,3,1,1,1,2,15,26.7,68,80,62,49,79,4,3,12,50
Eddie Nketiah,"7,250,516",7200000,2019,19,5th,5,0,67,1,0,3,1,33.3,0.33,19,95,0,0,,4,2,1,0,0,1,22,31.8,35,66.7,46,26,56.5,3,1,4,0
Eden Hazard,"99,515,468",99000000,2018,26,5th,34,28,"2,422",12,4,67,33,49.3,2,1171,82.2,51,43,48,174,126,18,16,9,7,223,25.6,1770,72.7,1830,1460,79.8,65,13,166,26.1
Eden Hazard,"108,757,741",108000000,2019,27,3rd,37,32,"2,923",16,15,90,39,43.3,4,1595,79.8,145,48,70,207,134,27,35,19,8,407,25.1,2461,65.7,2579,2082,80.7,85,12,173,41.2
Eden Hazard,"72,577,679",72000000,2020,28,1st,16,14,"1,077",1,3,19,14,73.7,0,522,85.4,19,9,19,48,39,4,8,5,9,120,28.3,787,62.1,803,667,83.1,24,12,75,55.6
Edin Džeko,"19,853,460",19800000,2017,30,2nd,37,33,"3,048",29,9,45.2,5.23,0.16,1,,,22,,,,,,,,,,,,,,,,,52,,
Edin Džeko,"22,617,152",22500000,2018,31,3rd,36,33,"3,018",16,3,34.2,4.8,0.1,0,547,68.9,19,25,,112,84,13,9,7,19,419,26.5,1240,69.6,1598,961,60.1,89,34,134,60.7
Edin Džeko,"9,969,460",9900000,2019,32,6th,33,28,"2,579",9,6,37.3,4.68,0.07,0,513,69.6,29,19,,106,71,16,17,13,14,346,21.7,1136,61.4,1461,876,60,66,31,111,61.5
Edin Džeko,"12,701,094",12600000,2020,33,5th,35,31,"2,854",16,7,36.8,3.94,0.13,0,565,69.5,21,16,,111,79,12,18,11,17,280,28.6,1223,54.1,1558,965,61.9,86,39,130,64.3
Edinson Cavani,"54,281,165",54000000,2018,30,1st,32,30,"2,581",28,5,104,49,47.1,3,395,78.1,14,17,20,64,44,7,18,9,11,296,27,749,51.7,888,541,60.9,30,19,81,0
Edinson Cavani,"36,252,580",36000000,2019,31,1st,21,20,"1,671",18,5,46,17,37,4,276,75.8,5,14,14,29,17,4,9,4,9,317,22.4,536,66.7,645,380,58.9,36,13,72,33.3
Edinson Cavani,"18,144,420",18000000,2020,32,1st,14,7,605,4,1,28,10,35.7,1,120,85.7,2,2,1,23,18,3,2,1,6,90,21.1,205,85.7,239,148,61.9,12,8,24,40
Eduard Löwen,"4,975,773",4950000,2018,20,2nd,32,25,"2,322",5,4,31.6,1.47,0.13,0,,,27,,,,,,,,,,,,,,,,,40,,
Eduard Löwen,"6,344,202",6300000,2019,21,18th,22,17,"1,623",3,2,35.1,2.05,0.08,0,562,75.9,17,16,,43,30,2,5,3,33,350,21.4,972,52.2,748,648,86.6,26,19,185,38.1
Emi Buendía,"2,261,715",2250000,2018,20,19th,40,35,"3,155",6,13,71,26,36.6,0.11,,,181,,,,,,,,,,,,,,,,,56,,
Emi Buendía,"13,141,560",13050000,2019,21,1st,38,35,"2,841",8,12,40,11,27.5,0.03,1144,74.6,166,37,,135,83,10,7,5,88,789,26.2,1983,76.3,1561,1329,85.1,67,36,232,29.9
Emil Forsberg,"22,560,750",22500000,2017,24,2nd,30,27,"2,338",8,18,38.8,1.89,0.14,1,,,130,,,,,,,,,,,,,,,,,26,,
Emil Forsberg,"22,617,152",22500000,2018,25,6th,21,15,"1,370",2,2,23.5,2.23,0.03,1,466,73.7,89,16,,75,47,1,6,4,18,247,31.6,835,54.7,731,574,78.5,39,16,88,35.3
Emil Forsberg,"25,376,806",25200000,2019,26,3rd,20,14,"1,249",4,7,42.3,1.87,0.04,3,405,76.3,49,15,,69,48,4,17,11,14,239,32.2,693,57.9,656,503,76.7,36,7,84,53.8
Emil Forsberg,"20,412,472",20250000,2020,27,3rd,22,14,"1,141",5,2,33.3,1.89,0.13,2,429,79.7,24,8,,50,36,3,4,3,19,262,30.2,675,83.9,655,514,78.5,23,12,69,31.8
Enes Ünal,"7,237,489",7200000,2018,20,5th,23,11,"1,134",5,1,37,17,45.9,0,202,70.9,5,9,17,29,17,3,4,2,5,229,23.6,470,28,564,355,62.9,38,24,36,39.1
Enes Ünal,"4,531,573",4500000,2019,21,16th,33,24,"2,148",6,3,49,13,26.5,3,379,72.1,8,11,27,39,30,2,7,3,11,373,18.5,799,60.9,1211,615,50.8,61,42,79,35.6
Enes Ünal,"7,257,768",7200000,2020,22,13th,35,23,"2,344",6,2,57,23,40.4,2,423,68.1,8,13,24,57,39,6,7,4,20,470,21.3,948,61.9,1284,713,55.5,76,41,129,42.4
Eric Maxim Choupo-Moting,"8,021,600",8000000,2017,27,10th,23,19,"1,686",3,4,48,17,35.4,1,,,26,,,,,,,,,,,,,,,,,23,,
Eric Maxim Choupo-Moting,"8,041,654",8000000,2018,28,19th,30,26,"2,314",5,5,58,17,29.3,0,480,68.7,38,23,45,58,40,7,11,7,40,348,26.1,1071,56.9,1055,733,69.5,69,22,153,42.9
Eric Maxim Choupo-Moting,"5,035,081",5000000,2019,29,1st,22,8,802,3,0,28,5,17.9,0,187,81.3,7,4,8,30,20,5,3,3,8,171,28.7,330,69.4,375,251,66.9,17,16,40,33.3
Eric Maxim Choupo-Moting,"4,032,093",4000000,2020,30,1st,9,5,451,3,1,18,7,38.9,0,92,82.1,2,2,5,12,6,1,5,2,10,83,28.9,180,66.7,206,135,65.5,11,2,22,50
Érik Lamela,"22,560,750",22500000,2017,24,2nd,9,6,594,1,3,18,6,33.3,0.06,,,26,,,,,,,,,,,,,,,,,13,,
Érik Lamela,"18,093,722",18000000,2018,25,3rd,26,8,902,2,2,18,5,27.8,0.11,367,79.3,26,12,,35,26,1,3,2,23,166,33.1,603,59.4,540,453,83.9,24,24,60,33.3
Érik Lamela,"19,938,919",19800000,2019,26,4th,19,9,974,4,2,29,11,37.9,0.14,368,82,28,12,,51,29,7,6,3,21,225,27.6,600,63.6,588,437,74.3,23,23,76,41.7
Érik Lamela,"14,515,536",14400000,2020,27,6th,25,12,"1,215",2,1,29,8,27.6,0.07,469,78.7,49,16,,47,27,3,9,3,27,315,27.9,772,68.9,701,551,78.6,28,30,92,20.8
Erling Braut Håland,"27,189,435",27000000,2019,18,1st,2,1,83,1,0,100,2.17,0.5,0,,,0,,,,,,,,,,,,,,,,,1,,
Erling Braut Håland,"65,319,911",64800000,2020,19,2nd,29,22,"2,043",29,6,57.1,2.96,0.37,0,174,73.7,11,2,,25,15,5,7,4,5,140,28.6,367,44.4,467,261,55.9,32,10,44,47.7
Ernesto Torregrossa,"2,177,330",2160000,2020,27,19th,25,22,"1,844",7,3,35.5,3.03,0.08,2,332,65.5,12,16,,66,40,5,11,7,15,318,19.2,856,53,1093,691,63.2,74,49,81,35.6
Ezequiel Ávila,"360,972",360000,2017,22,7th,15,2,378,1,2,17,4,23.5,0,,,24,,,,,,,,,,,,,,,,,11,,
Ezequiel Ávila,"1,628,435",1620000,2018,23,2nd,35,27,"2,158",7,3,0,21,,0,,,0,,,,,,,,,,,,,,,,,49,,
Ezequiel Ávila,"13,594,718",13500000,2019,24,19th,34,20,"1,997",10,2,89,23,25.8,1,314,54.5,40,18,36,48,30,5,6,3,21,423,22.5,918,51.7,975,636,65.2,60,38,131,50.5
Ezequiel Ávila,"10,886,652",10800000,2020,25,10th,20,18,"1,591",9,2,68,27,39.7,0,185,57.3,22,5,23,48,29,7,6,3,19,342,26.9,575,45.5,840,395,47,43,46,88,36.4
Fabio Borini,"4,512,150",4500000,2017,25,20th,24,19,"1,741",2,0,42.4,1.71,0.06,0,,,37,,,,,,,,,,,,,,,,,28,,
Fabio Borini,"6,332,803",6300000,2018,26,6th,29,19,"1,610",2,3,38.9,2.01,0.06,0,643,76.6,58,12,,42,33,1,4,4,29,281,24.2,1080,51.7,801,708,88.4,25,19,152,39.4
Fabio Borini,"6,332,803",6300000,2018,26,6th,29,19,"1,610",2,3,38.9,2.01,0.06,0,643,76.6,58,12,,42,33,1,4,4,29,281,24.2,1080,51.7,801,708,88.4,25,19,152,39.4
Fabio Borini,"4,531,573",4500000,2019,27,5th,20,10,"1,054",2,2,22.6,2.65,0.06,0,263,69,14,11,,34,22,4,3,2,16,251,23.1,564,43.8,460,372,80.9,18,14,64,57.6
Fabio Borini,"4,531,573",4500000,2019,27,5th,20,10,"1,054",2,2,22.6,2.65,0.06,0,263,69,14,11,,34,22,4,3,2,16,251,23.1,564,43.8,460,372,80.9,18,14,64,57.6
Fabio Borini,"3,628,884",3600000,2020,28,9th,15,10,833,3,0,42.9,4.13,0.06,1,181,68.3,14,5,,24,12,4,1,0,6,130,25.6,398,58.8,363,251,69.1,10,11,64,34.6
Fabio Quagliarella,"1,809,372",1800000,2018,34,10th,35,33,"2,719",19,5,35.6,3.44,0.12,7,415,65.1,48,17,,74,56,8,12,9,13,538,25.5,1016,56.5,1187,717,60.4,77,23,143,39.4
Fabio Quagliarella,"2,265,786",2250000,2019,35,9th,37,37,"3,199",26,8,36.9,3.66,0.13,9,627,67.5,34,31,,76,56,4,18,13,16,726,22.2,1369,57.4,1799,1009,56.1,80,32,166,29.6
Fabio Quagliarella,"1,451,554",1440000,2020,36,14th,28,26,"2,275",11,3,29.9,3.84,0.06,5,376,68.6,23,20,,76,54,3,8,5,8,444,25.5,836,44.8,1013,601,59.3,58,20,98,37.3
Facundo Ferreyra,"2,250,000",2250000,2016,24,2nd,11,8,575,3,2,0,49,,1,,,0,,,,,,,,,,,,,,,,,0,,
Facundo Ferreyra,"3,609,720",3600000,2017,25,1st,20,13,"1,213",13,1,3,2,66.7,0,,,0,,,,,,,,,,,,,,,,,6,,
Facundo Ferreyra,"6,332,803",6300000,2018,26,1st,30,29,"2,466",21,3,3,1,33.3,0,32,68.1,2,1,3,2,1,0,0,0,4,40,12.5,75,,111,51,45.9,6,8,8,47.1
Facundo Ferreyra,"3,625,258",3600000,2019,27,1st,5,3,284,1,0,7,6,85.7,0,74,65.5,4,2,7,9,9,0,0,0,6,97,18.6,172,60,308,116,37.7,17,25,26,39.5
Farid El Melali,"1,812,629",1800000,2019,21,13th,18,0,328,0,1,8,1,12.5,0,104,75.4,7,3,9,13,9,1,2,1,8,110,16.4,220,40.7,195,154,79,11,7,39,20
Farid El Melali,"1,451,554",1440000,2020,22,11th,8,4,306,3,0,6,5,83.3,0,70,68,7,8,7,8,6,1,1,1,13,94,24.5,181,40.9,148,112,75.7,11,7,36,50
Faustino Anjorin,"2,086,608",2070000,2020,17,4th,1,0,20,0,0,1,0,0,0,7,100,0,0,,0,0,0,0,0,1,2,50,12,100,11,8,72.7,0,0,1,
Federico Bonazzoli,"1,812,629",1800000,2019,21,18th,35,32,"2,765",8,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
Federico Bonazzoli,"1,451,554",1440000,2020,22,14th,19,7,744,6,0,38.1,5.08,0.14,0,146,69.9,10,10,,27,17,2,2,1,7,159,20.1,341,55.6,408,260,63.7,21,17,40,23.5
Federico Di Francesco,"2,256,075",2250000,2017,22,15th,24,11,"1,088",4,3,43.5,1.9,0.17,0,,,33,,,,,,,,,,,,,,,,,25,,
Federico Di Francesco,"4,523,430",4500000,2018,23,15th,24,20,"1,591",1,1,13.9,2.04,0.03,0,347,74.6,39,12,,33,30,0,6,4,25,313,21.1,702,68.8,679,488,71.9,38,25,95,31.3
Federico Di Francesco,"4,078,415",4050000,2019,24,11th,19,14,"1,074",2,2,42.3,2.18,0.08,0,322,81.7,20,9,,26,21,0,6,5,13,207,26.1,526,45.7,542,396,73.1,21,25,64,22.2
Federico Di Francesco,"3,628,884",3600000,2020,25,20th,19,13,"1,071",2,0,31.8,1.85,0.09,0,262,76.2,35,6,,36,22,3,2,1,7,167,25.1,475,55.6,483,332,68.7,24,19,71,30.4
Federico Santander,"4,523,430",4500000,2018,26,4th,23,18,"1,605",11,2,,0,,0,,,0,,,,,,,,,,,,,,,,,27,,
Federico Santander,"5,437,887",5400000,2019,27,10th,32,23,"2,065",8,3,35.1,3.23,0.11,0,339,59.5,17,17,,63,51,2,6,4,20,512,21.9,837,45,1137,621,54.6,50,51,105,53.4
Federico Santander,"3,628,884",3600000,2020,28,12th,23,5,725,1,0,22.7,2.73,0,1,167,67.3,7,5,,25,19,0,4,1,9,155,33.5,362,72.7,436,269,61.7,31,23,42,52.7
Felipe Anderson,"22,560,750",22500000,2017,23,5th,36,33,"2,908",4,8,71,21,29.6,0.04,,,153,,,,,,,,,,,,,,,,,46,,
Felipe Anderson,"31,664,013",31500000,2018,24,5th,21,9,"1,162",4,6,25,11,44,0.16,504,71.1,74,18,,69,47,10,13,11,28,265,29.8,945,61.5,822,670,81.5,48,7,110,27.3
Felipe Anderson,"36,252,580",36000000,2019,25,10th,36,36,"3,043",9,4,58,24,41.4,0.16,1328,73,122,49,,129,87,10,14,9,76,751,22.9,2299,54.9,1922,1650,85.8,71,27,295,21.7
Felipe Anderson,"22,680,525",22500000,2020,26,16th,25,20,"1,497",1,4,23,8,34.8,0.04,725,77.6,36,28,,57,44,5,8,7,45,370,28.1,1163,68,1042,889,85.3,33,17,135,14.3
Felipe Caicedo,"2,707,290",2700000,2017,27,8th,27,14,"1,278",2,1,40,1.06,0.13,0,,,0,,,,,,,,,,,,,,,,,55,,
Felipe Caicedo,"2,261,715",2250000,2018,28,5th,22,4,717,3,2,47.1,2.13,0.18,0,143,80.3,1,5,,16,11,3,2,1,10,169,25.4,259,84.2,361,201,55.7,17,18,29,40.8
Felipe Caicedo,"2,718,944",2700000,2019,29,8th,28,17,"1,371",8,2,38.5,2.56,0.18,1,277,75.5,1,10,,38,28,6,7,3,19,278,25.5,515,75,657,413,62.9,27,28,56,37.9
Felipe Caicedo,"4,354,661",4320000,2020,30,4th,30,18,"1,406",9,2,46.7,1.92,0.3,0,321,79.5,0,10,,42,36,2,9,5,27,232,27.2,557,65.2,665,454,68.3,38,27,52,30.8
Felix Klaus,"4,071,087",4050000,2018,24,13th,28,25,"1,981",4,2,41.8,2.5,0.07,0,487,71,71,16,,73,30,4,10,2,46,476,28.6,1001,45.8,925,619,66.9,43,28,177,35.5
